,Film,U.S. release date,Director(s),Screenwriter(s),Producer(s),Based on,Starring,Cinematography,Edited by,Music by,Productioncompany,Distributed by,Running time,Country,Language,Budget,Box office,Written by,Productioncompanies,Story by
24,Shang-Chi and the Legend of the Ten Rings,"September 3, 2021 (2021-09-03)",Destin Daniel Cretton,Dave Callaham & Destin Daniel Cretton & Andrew Lanham,Kevin Feige andJonathan Schwartz,Marvel Comics,"['Simu Liu', 'Awkwafina', ""Meng'er Zhang"", 'Fala Chen', 'Florian Munteanu', 'Benedict Wong', 'Michelle Yeoh', 'Ben Kingsley', 'Tony Leung']",William Pope,"['Nat Sanders', 'Elísabet Ronaldsdóttir', 'Harry Yoon']",Joel P. West,Marvel Studios,Walt Disney StudiosMotion Pictures,132 minutes,United States,English,$150–200 million,$432.2 million,,,"['Dave Callaham', 'Destin Daniel Cretton']"
25,Eternals,"November 5, 2021 (2021-11-05)",Chloé Zhao,Chloé Zhao and Chloé Zhao & Patrick Burleighand Ryan Firpo & Kaz Firpo,Kevin Feigeand Nate Moore,Eternalsby Jack Kirby,"['Gemma Chan', 'Richard Madden', 'Kumail Nanjiani', 'Lia McHugh', 'Brian Tyree Henry', 'Lauren Ridloff', 'Barry Keoghan', 'Don Lee', 'Harish Patel', 'Kit Harington', 'Salma Hayek', 'Angelina Jolie']",Ben Davis,"['Craig Wood', 'Dylan Tichenor']",Ramin Djawadi,Marvel Studios,Walt Disney StudiosMotion Pictures,156 minutes,United States,English,$200 million,$402.1 million,,,"['Ryan Firpo', 'Kaz Firpo']"
26,Spider-Man: No Way Home,"December 17, 2021 (2021-12-17)",Jon Watts,Chris McKenna & Erik Sommers,Kevin Feigeand Amy Pascal,"['Stan Lee', 'Steve Ditko']","['Tom Holland', 'Zendaya', 'Benedict Cumberbatch', 'Jacob Batalon', 'Jon Favreau', 'Jamie Foxx', 'Willem Dafoe', 'Alfred Molina', 'Benedict Wong', 'Tony Revolori', 'Marisa Tomei', 'Andrew Garfield', 'Tobey Maguire']",Mauro Fiore,"['Jeffrey Ford', 'Leigh Folsom Boyd']",Michael Giacchino,,Sony Pictures Releasing,148 minutes,United States,English,$200 million,$1.892 billion,"['Chris McKenna', 'Erik Sommers']","['Columbia Pictures', 'Marvel Studios', 'Pascal Pictures']",
27,Doctor Strange in the Multiverse of Madness,"May 6, 2022 (2022-05-06)",Sam Raimi,Michael Waldron,Kevin Feige,"['Stan Lee', 'Steve Ditko']","['Benedict Cumberbatch', 'Elizabeth Olsen', 'Chiwetel Ejiofor', 'Benedict Wong', 'Xochitl Gomez', 'Michael Stuhlbarg', 'Rachel McAdams']",John Mathieson,"['Bob Murawski', 'Tia Nolan']",Danny Elfman,Marvel Studios,Walt Disney StudiosMotion Pictures,,United States,English,,,Michael Waldron,,
28,Thor: Love and Thunder,"July 8, 2022 (2022-07-08)",Taika Waititi,Taika Waititi and Jennifer Kaytin Robinson,Kevin Feige andBrad Winderbaum,"['Stan Lee', 'Larry Lieber', 'Jack Kirby']","['Chris Hemsworth', 'Tessa Thompson', 'Natalie Portman', 'Christian Bale', 'Chris Pratt', 'Jaimie Alexander', 'Pom Klementieff', 'Dave Bautista', 'Karen Gillan', 'Sean Gunn', 'Jeff Goldblum', 'Vin Diesel']",,Maryann Brandon,Michael Giacchino,Marvel Studios,Walt Disney StudiosMotion Pictures,,United States,English,,,"['Taika Waititi', 'Jennifer Kaytin Robinson']",,
29,Black Panther: Wakanda Forever,"November 11, 2022 (2022-11-11)",Ryan Coogler,Ryan Coogler & Joe Robert Cole,Kevin Feige,"['Stan Lee', 'Jack Kirby']","[""Lupita Nyong'o"", 'Danai Gurira', 'Martin Freeman', 'Daniel Kaluuya', 'Letitia Wright', 'Winston Duke', 'Angela Bassett', 'Dominique Thorne']",Autumn Durald,,Ludwig Göransson,Marvel Studios,Walt Disney StudiosMotion Pictures,,United States,English,,,"['Ryan Coogler', 'Joe Robert Cole']",,
30,The Marvels,"February 17, 2023 (2023-02-17)",Nia DaCosta,Megan McDonnell,Filming,Marvel Comics,"['Brie Larson', 'Iman Vellani', 'Teyonah Parris', 'Samuel L. Jackson']",Sean Bobbitt,Catrin Hedström,Laura Karpman,Marvel Studios,Walt Disney StudiosMotion Pictures,,United States,English,,,,,
31,Guardians of the Galaxy Vol. 3,"May 5, 2023 (2023-05-05)",James Gunn,,,"['Dan Abnett', 'Andy Lanning']","['Chris Pratt', 'Zoe Saldaña', 'Dave Bautista', 'Vin Diesel', 'Bradley Cooper', 'Karen Gillan', 'Pom Klementieff', 'Sean Gunn', 'Sylvester Stallone', 'Will Poulter']",Henry Braham,"['Craig Wood', 'Fred Raskin']",John Murphy,Marvel Studios,Walt Disney StudiosMotion Pictures,,United States,English,,,James Gunn,,
32,Ant-Man and the Wasp: Quantumania,"July 28, 2023 (2023-07-28)",Peyton Reed,Jeff Loveness,Post-production,"['Stan Lee', 'Larry Lieber', 'Jack Kirby']","['Paul Rudd', 'Evangeline Lilly', 'Michael Douglas', 'Michelle Pfeiffer', 'Kathryn Newton', 'Jonathan Majors']",,,,Marvel Studios,Walt Disney StudiosMotion Pictures,,United States,English,,,Jeff Loveness,,
33,Fantastic Four,TBA,Jon Watts,TBA,In development,,See below,,,,,"['Walt Disney StudiosMotion Pictures', 'Sony Pictures Releasing (NWH)', 'Disney Platform Distribution (Disney+ series)']",,United States,English,,,,"['Marvel Studios', 'Columbia Pictures (NWH)', 'Proximity Media (IH & WK)']",
